date,deforestation_ha,pred_LightGBM,pred_Lasso,pred_MLP
2023-07-31,88478.1949236061,19457.18334705245,2261.9135210083896,7531.996546012704
2023-08-31,144891.73966293348,3037.595920011132,6347.636342638584,1397.2283636105597
2023-09-30,150506.56142142555,61986.070294607416,19013.754236464007,186932.5099848254
2023-10-31,214858.57839943605,345556.3013171277,16943.911587862596,426076.7887706197
2023-11-30,158009.17780770597,165611.01574413976,26552.025784174002,7419092.067024951
2023-12-31,158711.5684077919,115471.61653934071,4712.250684168024,159436.4367147649
2024-01-31,33199.8728312913,50456.652273224754,6368.113812218652,208968.02622533622
2024-02-29,182919.1776219512,121624.77677511208,9890.57258066945,9586303.40970403
2024-03-31,250773.36634811322,51176.48613750112,5588.8538483077455,482956.91979757824
2024-04-30,146732.0540563183,6461.152478078551,2585.771407934115,350928.30334245396
2024-05-31,190659.46547993625,92985.27007540179,59989.602910104,439198.85117776867
2024-06-30,60968.30264854737,21105.695718247105,12481.450238009344,1004780.8517104315
2024-07-31,127613.09774598843,44222.612037340376,8975.35038389859,707653.971706249
2024-08-31,314093.6145669873,22613.14672210766,15308.43143207071,44866.257474147686
2024-09-30,1633534.4006637158,1177059.366137257,91031.30581680412,42401347.67566464
2024-10-31,756447.0624395985,475620.2298720599,30322.02250280555,10645302.780425642
2024-11-30,186839.68802710096,179415.9044421757,17439.10245646669,4605319.879070043
2024-12-31,55311.17012898403,51085.41631688613,9012.218675074058,4418732.993905778
2025-01-31,51961.21576414888,17787.786026021728,2300.033837012506,44809.01052355996
2025-02-28,42156.2587228464,4655.561062071029,2546.139501516832,490103.11064745876
2025-03-31,17362.968830715075,3060.5614176696354,479.66036847486566,5695.871747928755
