,MAE,RMSE,R2
Round 1,2.988521529621912,3.4877316642035345,0.3694104841322926
Round 2,3.0741438456225265,3.513867747742766,0.3599241506747315
Round 3,2.988521529621912,3.4877316642035345,0.3694104841322926
