,MAE,RMSE,R2
Round 1,4.168272454921104,5.499603671228265,-0.5679182093591642
Round 2,3.6367938765985213,4.906118733462852,-0.2477762822918097
Round 3,2.671657946569465,3.4820057590826754,0.3714792968714039
