,MAE,RMSE,R2
Round 1,2.6378212612030625,3.4374286606065922,0.3874690961451792
Round 2,2.737260099150166,3.5820126578983613,0.33485726801534055
Round 3,2.635021441570537,3.3601944759907516,0.4146852823047351
