date,deforestation_ha,pred_LightGBM,pred_Lasso,pred_MLP
2023-07-31,88478.1949236061,2981.1565500194793,2714.825767144149,821.3931450532476
2023-08-31,144891.73966293348,9427.296665036396,10645.737232031617,9754.478858346012
2023-09-30,150506.56142142555,67502.77163311704,26667.298837613427,131879.54468364335
2023-10-31,214858.57839943605,73466.02924036779,17598.99257484308,81205.03542061315
2023-11-30,158009.17780770597,68986.5490102322,36299.1842349655,381888.4667373444
2023-12-31,158711.5684077919,10808.751497921203,3819.4230565316193,17321.718811995357
2024-01-31,33199.8728312913,10943.946562768922,6639.184896616088,35643.31241285526
2024-02-29,182919.1776219512,18087.970385837565,10074.293859867767,100577.8078438366
2024-03-31,250773.36634811322,6824.410951700057,5002.386889804839,12710.365542131976
2024-04-30,146732.0540563183,3292.7254768892553,3183.7821974015724,7848.370992335366
2024-05-31,190659.46547993625,38887.702305062885,103270.17787949376,506208.90069313225
2024-06-30,60968.30264854737,17233.904761863032,16138.460412199804,21771.429651875987
2024-07-31,127613.09774598843,12625.777397020734,13946.703806774109,23109.728982810688
2024-08-31,314093.6145669873,45852.528641270284,22115.40463023671,22670.584758326633
2024-09-30,1633534.4006637158,291991.7716050222,99731.08381145293,1447101.2425426517
2024-10-31,756447.0624395985,74576.57611076474,24497.648782672753,349092.4641493579
2024-11-30,186839.68802710096,53559.97302478482,18302.502339629686,1082430.457849491
2024-12-31,55311.17012898403,24824.824340664054,11891.454831342395,890395.0246133413
2025-01-31,51961.21576414888,3908.2605416353854,2429.3672291116395,12616.687680693514
2025-02-28,42156.2587228464,3296.5593051961705,2954.1986966666327,4155.905956136986
2025-03-31,17362.968830715075,502.75499769332976,646.8867173542098,517.8109829775979
