system:index,date,precipitation,.geo
20210601,2021-06-01,2.824084413382848,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210602,2021-06-02,1.451325678140448,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210603,2021-06-03,4.191361976306968,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210604,2021-06-04,4.086565070936992,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210605,2021-06-05,3.115230440996149,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210606,2021-06-06,2.487580689030353,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210607,2021-06-07,4.71421460480078,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210608,2021-06-08,4.634287640272727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210609,2021-06-09,4.794624754690202,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210610,2021-06-10,5.6361910851239605,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210611,2021-06-11,4.119969338904351,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210612,2021-06-12,3.7999414929243134,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210613,2021-06-13,3.9048751731972127,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210614,2021-06-14,4.275294514402693,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210615,2021-06-15,5.483943242600994,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210616,2021-06-16,6.324589570088101,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210617,2021-06-17,4.432487590212041,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210618,2021-06-18,3.7226139265045015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210619,2021-06-19,3.5362767346976804,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210620,2021-06-20,2.999567773576196,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210621,2021-06-21,1.7011351104815504,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210622,2021-06-22,1.5125177081053125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210623,2021-06-23,2.925065356803044,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210624,2021-06-24,1.933852539784761,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210625,2021-06-25,2.471659489255122,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210626,2021-06-26,1.6060288518717234,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210627,2021-06-27,3.1312751995912764,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210628,2021-06-28,4.198102231205029,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210629,2021-06-29,4.827256182906243,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210630,2021-06-30,0.5716844048298085,"{""type"":""MultiPoint"",""coordinates"":[]}"
