system:index,date,precipitation,.geo
20200201,2020-02-01,6.823980001591278,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200202,2020-02-02,6.628652267006014,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200203,2020-02-03,6.2296671654885705,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200204,2020-02-04,8.806146758687527,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200205,2020-02-05,6.093728456405228,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200206,2020-02-06,5.513048831448969,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200207,2020-02-07,6.5824180249608455,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200208,2020-02-08,6.563176772448325,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200209,2020-02-09,5.912405237656071,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200210,2020-02-10,5.823389198995743,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200211,2020-02-11,8.816321555761704,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200212,2020-02-12,13.758401864641145,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200213,2020-02-13,8.398265381726251,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200214,2020-02-14,7.068930556830475,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200215,2020-02-15,8.545052784300221,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200216,2020-02-16,6.424924841055865,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200217,2020-02-17,4.053706350999571,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200218,2020-02-18,5.110782307161072,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200219,2020-02-19,8.819103152802786,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200220,2020-02-20,14.469948793557244,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200221,2020-02-21,10.717255288100025,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200222,2020-02-22,10.66885263786646,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200223,2020-02-23,10.818974256484482,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200224,2020-02-24,13.55124016339182,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200225,2020-02-25,16.348116829490035,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200226,2020-02-26,8.583675490617457,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200227,2020-02-27,9.897930689774176,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200228,2020-02-28,8.675410521965421,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200229,2020-02-29,6.095099769494478,"{""type"":""MultiPoint"",""coordinates"":[]}"
