system:index,date,precipitation,.geo
20200601,2020-06-01,7.634395203028769,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200602,2020-06-02,5.572095597166154,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200603,2020-06-03,3.5290002396341613,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200604,2020-06-04,4.424731799795841,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200605,2020-06-05,3.134784268522863,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200606,2020-06-06,4.212372930630982,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200607,2020-06-07,3.8849567614859737,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200608,2020-06-08,3.42653162598089,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200609,2020-06-09,2.1769716202564044,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200610,2020-06-10,2.174515189223178,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200611,2020-06-11,5.7707535909523395,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200612,2020-06-12,6.191929386542248,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200613,2020-06-13,3.6093923500847684,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200614,2020-06-14,3.3596797119355672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200615,2020-06-15,2.598824484922259,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200616,2020-06-16,2.3568294088867927,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200617,2020-06-17,3.1746451955671127,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200618,2020-06-18,2.2738706977920464,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200619,2020-06-19,2.9656112396691916,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200620,2020-06-20,2.6026423354552772,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200621,2020-06-21,2.1421223077606766,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200622,2020-06-22,3.935402084885509,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200623,2020-06-23,3.0371773828255404,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200624,2020-06-24,2.818043543732801,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200625,2020-06-25,2.56869475822081,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200626,2020-06-26,2.8880089667435676,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200627,2020-06-27,1.9587501651174526,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200628,2020-06-28,3.3457758113167437,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200629,2020-06-29,3.9067691068838077,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630,2020-06-30,3.593774569151227,"{""type"":""MultiPoint"",""coordinates"":[]}"
