system:index,date,precipitation,.geo
20230301,2023-03-01,9.044105637993855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230302,2023-03-02,8.216013712169444,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230303,2023-03-03,6.2695927591759775,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230304,2023-03-04,6.368402616925893,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230305,2023-03-05,6.6913965372455255,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230306,2023-03-06,8.865036406056483,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230307,2023-03-07,10.552763931032539,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230308,2023-03-08,11.271912947621805,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230309,2023-03-09,7.175129787114168,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310,2023-03-10,10.696834554908518,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230311,2023-03-11,12.568186623901234,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230312,2023-03-12,14.736700393597586,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230313,2023-03-13,14.18832546337021,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230314,2023-03-14,8.877952389267845,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230315,2023-03-15,13.528124078060651,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230316,2023-03-16,10.68159727944298,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230317,2023-03-17,14.69699158028529,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230318,2023-03-18,13.475349950631761,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230319,2023-03-19,9.560016617825907,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230320,2023-03-20,9.268257228585806,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230321,2023-03-21,11.22111987414305,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230322,2023-03-22,9.658375896046849,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230323,2023-03-23,11.33196249754119,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230324,2023-03-24,11.041213444282347,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230325,2023-03-25,9.680684404053407,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230326,2023-03-26,12.184561246649352,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230327,2023-03-27,11.170282023832335,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230328,2023-03-28,10.160459509244331,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230329,2023-03-29,10.158245618899294,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230330,2023-03-30,9.088057881170917,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230331,2023-03-31,10.230594120132771,"{""type"":""MultiPoint"",""coordinates"":[]}"
