system:index,date,precipitation,.geo
20180601,2018-06-01,2.4473476642601777,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180602,2018-06-02,5.593723118471777,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180603,2018-06-03,4.148978915038086,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180604,2018-06-04,2.920955194105041,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180605,2018-06-05,5.373628117409452,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180606,2018-06-06,3.310846557650599,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180607,2018-06-07,3.390305724210839,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180608,2018-06-08,3.5004632935862734,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180609,2018-06-09,2.1425267989023533,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180610,2018-06-10,1.8255604439721782,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180611,2018-06-11,0.7649475554521519,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180612,2018-06-12,1.6263262584287665,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180613,2018-06-13,2.1953283258533856,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180614,2018-06-14,1.463391434062667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180615,2018-06-15,1.3752527032841948,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180616,2018-06-16,3.61430532205753,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180617,2018-06-17,3.234469913571999,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180618,2018-06-18,3.366140875916629,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180619,2018-06-19,2.4454085781925166,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180620,2018-06-20,3.014384838951984,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180621,2018-06-21,2.680446624338011,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180622,2018-06-22,2.991722202622961,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180623,2018-06-23,3.311082681073906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180624,2018-06-24,3.764814537552654,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180625,2018-06-25,4.256844723039584,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180626,2018-06-26,2.3468972710538227,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180627,2018-06-27,1.30034388340694,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180628,2018-06-28,1.2892548054823467,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180629,2018-06-29,2.5426499806934735,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180630,2018-06-30,4.693755598213323,"{""type"":""MultiPoint"",""coordinates"":[]}"
